,sentiment_gap,emotion_gap,semantic_gap,topic_gap,category
Chanel,0.0,0.0,0.15506329113924044,0.0,luxury
Dior,0.25,0.03485576923076923,0.23417721518987342,0.14685314685314696,luxury
Gucci,0.010452961672473868,0.25,0.09810126582278471,0.07342657342657348,luxury
Supreme,0.037456445993031356,0.22836538461538466,0.25,0.25,streetwear
Off-White,0.13066202090592338,0.05408653846153848,0.0,0.23426573426573424,streetwear
Palace,0.1010452961672474,0.1045673076923077,0.04430379746835446,0.24825174825174826,streetwear
